"NN","IN","DT","NN"
"IN","DT","NN","IN"
"IN","DT","JJ","NN"
"DT","NN","IN","DT"
"DT","JJ","NN","IN"
"DT","NN","IN","NN"
"JJ","NN","IN","DT"
"NN","IN","DT","JJ"
"IN","DT","NN","__END__"
"IN","DT","NN","NN"
"TO","VB","DT","NN"
"DT","JJ","NN","__END__"
"VB","DT","NN","IN"
"NNS","IN","DT","NN"
"NNP","NNP","NNP","NNP"
"VBZ","DT","JJ","NN"
"VBZ","DT","NN","IN"
"VB","DT","JJ","NN"
"VBN","IN","DT","NN"
"IN","DT","NN","VBZ"
"DT","JJ","NN","NN"
"NN","IN","DT","NNP"
"DT","NN","IN","NNP"
"IN","DT","NNP","NNP"
"IN","DT","NN","CC"
"DT","NN","IN","JJ"
"JJ","NN","IN","NN"
"DT","NN","TO","VB"
"DT","NN","IN","NNS"
"__START__","IN","DT","NN"
"NN","IN","JJ","NN"
"NN","IN","NN","IN"
"RB","IN","DT","NN"
"IN","NN","IN","DT"
"MD","VB","DT","NN"
"DT","JJ","NN","VBZ"
"DT","JJ","NN","CC"
"VB","IN","DT","NN"
"IN","PRP","MD","VB"
"__START__","DT","JJ","NN"
"JJ","NNS","IN","DT"
"PRP","MD","RB","VB"
"NN","IN","NN","__END__"
"PRP","VBP","TO","VB"
"NN","IN","JJ","NNS"
"DT","NN","MD","VB"
"IN","DT","NNS","IN"
"PRP","MD","VB","DT"
"DT","JJ","JJ","NN"
"DT","NN","NN","IN"
"NN","NN","IN","DT"
"NN","IN","PRP$","NN"
"PRP","VBP","DT","NN"
"TO","VB","DT","JJ"
"TO","VB","IN","DT"
"IN","DT","JJ","NNS"
"NN","IN","DT","NNS"
"DT","NN","NN","__END__"
"NN","VBZ","DT","NN"
"DT","NN","IN","PRP"
"NN","TO","VB","DT"
"__START__","DT","NN","IN"
"__START__","PRP","MD","VB"
"JJ","IN","DT","NN"
"DT","NNS","IN","DT"
"NNS","IN","DT","JJ"
"IN","DT","NNP","NN"
"NN","PRP","MD","VB"
"IN","DT","NN","PRP"
"DT","NN","VBZ","RB"
"RB","DT","JJ","NN"
"DT","NN","IN","VBG"
"__START__","IN","PRP","VBP"
"JJ","NN","TO","VB"
"__START__","DT","NN","VBZ"
"PRP","MD","VB","IN"
"VBG","DT","NN","IN"
"MD","VB","VBN","IN"
"DT","JJ","NNS","IN"
"DT","NN","VBZ","DT"
"VBZ","IN","DT","NN"
"RB","DT","NN","IN"
"VBD","DT","NN","IN"
"VBP","DT","NN","IN"
"VBN","IN","DT","JJ"
"NN","IN","PRP","VBP"
"NN","IN","NNP","NNP"
"IN","VBG","DT","NN"
"JJ","NN","IN","NNP"
"IN","JJ","NNS","IN"
"NN","IN","NN","CC"
"NN","CC","DT","NN"
"RB","VB","DT","NN"
"DT","NN","IN","PRP$"
"TO","DT","NN","IN"
"DT","JJ","NN","TO"
"IN","NNP","NNP","NNP"
"VBD","DT","JJ","NN"
"NN","IN","NN","NN"
"IN","DT","NN","RB"
