"IN","DT","NN"
"DT","NN","IN"
"DT","JJ","NN"
"NN","IN","DT"
"IN","DT","JJ"
"JJ","NN","IN"
"NN","IN","NN"
"DT","NN","NN"
"VB","DT","NN"
"PRP","MD","VB"
"DT","NN","__END__"
"IN","DT","NNP"
"NNP","NNP","NNP"
"DT","NN","VBZ"
"TO","VB","DT"
"JJ","NN","__END__"
"NNS","IN","DT"
"NN","TO","VB"
"IN","PRP","VBP"
"VBZ","DT","NN"
"IN","DT","NNS"
"NN","IN","NNP"
"JJ","NNS","IN"
"VBN","IN","DT"
"JJ","NN","NN"
"IN","JJ","NNS"
"IN","NN","IN"
"NN","IN","JJ"
"DT","NN","CC"
"__START__","DT","NN"
"IN","PRP$","NN"
"IN","JJ","NN"
"NN","NN","__END__"
"DT","NNP","NNP"
"TO","VB","IN"
"NN","MD","VB"
"NN","NN","IN"
"IN","NNP","NNP"
"NN","IN","PRP"
"__START__","IN","DT"
"NN","IN","NNS"
"DT","NNS","IN"
"MD","RB","VB"
"NN","CC","NN"
"RB","IN","DT"
"DT","JJ","NNS"
"VB","DT","JJ"
"JJ","NN","CC"
"VBZ","DT","JJ"
"IN","NN","__END__"
"MD","VB","DT"
"VBG","DT","NN"
"__START__","PRP","VBP"
"NN","NN","NN"
"VB","IN","DT"
"NN","VBZ","RB"
"RB","DT","NN"
"DT","NN","TO"
"JJ","TO","VB"
"PRP","VBP","DT"
"TO","DT","NN"
"NN","VBZ","DT"
"JJ","JJ","NN"
"JJ","NNS","__END__"
"NNS","IN","NN"
"VBP","DT","NN"
"JJ","IN","DT"
"JJ","NN","VBZ"
"MD","VB","VBN"
"NN","IN","VBG"
"NNP","IN","NNP"
"DT","NN","RB"
"VBD","DT","NN"
"NNP","IN","DT"
"DT","NNP","NN"
"VBP","TO","VB"
"IN","PRP","VBZ"
"NN","IN","PRP$"
"DT","NN","PRP"
"NN","DT","NN"
"NN","PRP","VBP"
"IN","NN","CC"
"MD","VB","IN"
"NNP","NNP","IN"
"IN","NN","NN"
"__START__","DT","JJ"
"NN","CC","DT"
"CC","DT","NN"
"DT","JJ","JJ"
"VB","TO","VB"
"NN","WDT","VBZ"
"VB","VBN","IN"
"RB","JJ","IN"
"VBZ","IN","DT"
"PRP","VBP","RB"
"NN","VBZ","IN"
"VBZ","RB","JJ"
"NNP","CC","NNP"
"IN","PRP","VBD"
"PRP","VBP","IN"
